https://www.cdc.gov/tobacco/campaign/tips/quit-smoking/guide/secondhand-smoke.html + https://www.cdc.gov/tobacco/basic_information/health_effects/index.htm + https://www.cdc.gov/tobacco/basic_information/secondhand_smoke/index.htm	https://www.cityofhope.org/blog/10-common-myths-about-smoking-debunked + https://www.cdc.gov/tobacco/data_statistics/sgr/2010/myths/pdfs/myths.pdf		https://www.cdc.gov/tobacco/campaign/tips/quit-smoking/guide/secondhand-smoke.html + https://www.cdc.gov/tobacco/basic_information/secondhand_smoke/index.htm	https://www.cdc.gov/tobacco/data_statistics/sgr/2010/myths/pdfs/myths.pdf		https://www.cdc.gov/tobacco/basic_information/health_effects/index.htm + https://www.cdc.gov/tobacco/data_statistics/fact_sheets/health_effects/effects_cig_smoking/index.htm + https://www.cdc.gov/tobacco/campaign/tips/diseases/vision-loss-blindness.html	https://www.cityofhope.org/blog/10-common-myths-about-smoking-debunked		https://www.cdc.gov/tobacco/quit_smoking/how_to_quit/benefits/index.htm	https://www.cityofhope.org/blog/10-common-myths-about-smoking-debunked + https://www.cdc.gov/tobacco/data_statistics/sgr/2010/myths/pdfs/myths.pdf		https://www.cdc.gov/tobacco/quit_smoking/how_to_quit/benefits/index.htm	
What are some health effects of secondhand smoke?			What can you do to protect your loved ones from secondhand smoke?			What are some health effects of smoking?			Which improvements will follow after quitting smoking?			What are some of the health benefits of quitting smoking over time?	
truth	lie		truth	lie		truth	lie		truth	lie		truth	lie
Lung cancer in people who have never smoked.	Nonsmokers cannot get lung or other cancers from tobacco smoke.		Make sure your house and car remain smokefree.	The little bit of smoke that my kids get doesn't hurt them.		Smoking causes cancer.	After smoking for a while, your system is already permanently damaged.		Quiting smoking improves health status and enhances quality of life.	A smoker who has been diagnosed with cancer would see no benefit from quitting.		After only a few minutes, the heart rate drops	None
More likely that someone will get heart disease‚ have a heart attack‚ and die early.	Secondhand smoke may bother people, but it isn't dangerous.		Kids breathe in secondhand smoke at home more than any other place. The same goes for many adults.	None		Smoking causes heart diseases.	Because of medical advances, the risk of a smoker developing lung cancer has decreased in recent decades.		Quiting smoking reduces the risk of premature death and can add as much as 10 years to life expectancy.	It's too late to quit, the damage is already done.		After 24 hours, the nicotine level in the blood drops to zero.	None
Breathing problems like coughing‚ extra phlegm‚ wheezing‚ and shortness of breath.	The little bit of smoke that my kids get doesn't hurt them.		Don't allow anyone to smoke in your home or car.	None		Smoking causes strokes.	The main risk to pregnant women who smoke is premature delivery.		Quiting smoking reduces the risk for many adverse health effects, including poor reproductive health outcomes, cardiovascular diseases, chronic obstructive pulmonary disease (COPD), and cancer.	"I've smoked for so long; the damage is already done."		After several days, the carbon monoxide level in the blood drops to a level of someone who does not smoke.	None
Mothers who breathe secondhand smoke while pregnant are more likely to have babies with low birth weight.	The smoker is the only one who is hurt by their smoking.		Make sure caretakers like nannies, babysitters, and day care staff do not smoke.	None		Smoking causes lung diseases.	Cigarette smoking has been shown to only cause lung cancer.		Quiting smoking benefits people already diagnosed with coronary heart disease or COPD.	None		After 1 to 12 months, coughing and shortness of breath decreases.	None
Babies who breathe secondhand smoke after birth have more lung infections than other babies.	None		Eat at smokefree restaurants.	None		Smoking causes diabetes.	Other types of tobacco products are not harmful the way cigarettes are.		Quiting smoking benefits the health of pregnant women and their fetuses and babies.	None		After 1 to 2 years, risk of heart attack drops sharply.	None
Secondhand smoke causes kids who already have asthma to have more frequent and severe attacks.	None		Avoid indoor public places that allow smoking.	None		Smoking causes chronic obstructive pulmonary disease (COPD), this includes emphysema and chronic bronchitis.	Trying to quit smoking will stress me out -- and that's unhealthy.		Quiting smoking reduces the financial burden that smoking places on people who smoke, healthcare systems, and society.	None		After 3 to 6 years, the added risk of coronary heart disease drops by half.	None
Children exposed to secondhand smoke are more likely to develop bronchitis, pneumonia, and ear infections and are at increased risk for sudden infant death syndrome (SIDS)	None		Teach your children to stay away from secondhand smoke.	None		Smoking increases risk for tuberculosis.	The weight gain that comes with quitting is just as unhealthy as smoking.		While quitting earlier in life yields greater health benefits, quitting smoking is beneficial to health at any age. Even people who have smoked for many years or have smoked heavily will benefit from quitting.	None		After 5 to 10 years, the added risk of cancers of the mouth, throat, and voice box drops by half.	None
Secondhand smoke causes strokes.	None		Don't smoke at home. Smoking in another room like a bathroom or bedroom can still spread secondhand smoke through the air in your home. In an apartment building, secondhand smoke can go in between apartments.	None		Smoking increases risk for certain eye diseases.	Nicotine products are just as unhealthful as smoking.		Quitting smoking is the single best way to protect family members, coworkers, friends, and others from the health risks associated with breathing secondhand smoke.	None		After 5 to 10 years, the risk of stroke decreases.	None
Secondhand smoke causes lung cancer.	None		Don't smoke at home. Smoking outside in a hall or stairwell does not protect children inside. Smoke goes under doors, windows, and through cracks.	None		Smoking increases risk for certain problems of the immune system, including rheumatoid arthritis.	None		Quiting smoking reduces the risk of disease and death from cardiovascular disease.	None		After 10 years, the added risk of lung cancer drops by half.	None
Secondhand smoke causes coronary heart disease in adults.	None		Don't smoke at home. Opening a window or using a fan does not protect children from secondhand smoke.	None		Smoking increases the risk for coronary heart disease by 2 to 4 times.	None		Quiting smoking reduces markers of inflammation and hypercoagulability.	None		After 10 years, the risk of cancers of the bladder, esophagus, and kidney decreases.	None
Children are at increased risk for sudden infant death syndrome.	None		Don't smoke at home. Air purifiers and air fresheners do not remove secondhand smoke.	None		Smoking increases the risk for stroke by 2 to 4 times.	None		Quiting smoking leads to rapid improvement in high-density lipoprotein cholesterol (HDL-C) levels.	None		After 15 years, the risk of coronary heart disease drops to close to that of someone who does not smoke.	None
Children are at increased risk for acute respiratory infections.	None		Smoke from one cigarette can stay in a room for hours. Don’t smoke at home, even when children aren’t there.	None		Smoking increases the risk of men developing lung cancer by 25 times.	None		Quiting smoking reduces the development of subclinical atherosclerosis and slows its progression over time.	None		After 20 years, the risk of cancers of the mouth, throat, and voice box drops to close to that of someone who does not smoke.	None
Children are at increased risk for more sever asthma.	None		Don't smoke at home. Separating people who smoke from those who don’t smoke, cleaning the air and ventilating buildings does not fully protect children or adults from secondhand smoke.	None		Smoking increases the risk of women developing lung cancer by 25.7 times.	None		Quiting smoking reduces the risk of coronary heart disease with risk falling sharply 1-2 years after cessation and then declining more slowly over the longer term.	None		After 20 years, the risk of pancreatic cancer drops to close to that of someone who does not smoke.	None
Children are at increased risk for respiratory symptoms.	None		If you smoke cigarettes, the best decision you can make for your health and your family’s health is to quit. Quitting smoking can be hard, and it can take many tries.	None		You can develop serious eye conditions that can cause vision loss or blindness.	None		Quiting smoking reduces the risk of disease and death from stroke with risk approaching that of never smokers after cessation.	None		After 20 years, the added risk of cervical cancer drops by about half.	None
Children are at increased risk of slowed lung growth.	None		If a loved one smokes, support them by encouraging them to quit.	None		If you have asthma, it can get more severe.	None		Quiting smoking reduces the risk of abdominal aortic aneurysm, with risk reduction increasing with time since cessation.	None			
